station_name,free_bikes,empty_slots,latitude,longitude,timestamp
Philipp-Reis-Straße / Am Dammgraben,2,38,50.1109504699707,8.635615348815918,2026-01-07 22:08:11.686249
U  Leipziger Strasse,1,39,50.122650146484375,8.645650863647461,2026-01-07 22:08:11.686249
Martin-Luther-Straße / Burgstraße,0,40,50.124298095703125,8.697805404663086,2026-01-07 22:08:11.686250
Allerheiligentor,0,40,50.11318588256836,8.6923828125,2026-01-07 22:08:11.686250
Eschborn / S-Bahn Station Eschborn Süd,4,36,50.1339111328125,8.578069686889648,2026-01-07 22:08:11.686251
Burnitzstraße,0,40,50.097434997558594,8.677679061889648,2026-01-07 22:08:11.686251
Diesterwegstraße / Schweizer Platz,0,40,50.101707458496094,8.681083679199219,2026-01-07 22:08:11.686252
Untermainkai / Neue Mainzer Straße,3,37,50.107765197753906,8.675826072692871,2026-01-07 22:08:11.686252
Ginnheimer Landstraße / Wilhelm-Epstein-Straße,14,26,50.1367073059082,8.646073341369629,2026-01-07 22:08:11.686253
Praunheimer Landstraße / Jean-Albert-Schwarz-Straß,11,29,50.1482048034668,8.624140739440918,2026-01-07 22:08:11.686254
Brunnenweg/Wilhelm-Schramm-Straße,13,27,50.08367919921875,8.783610343933105,2026-01-07 22:08:11.686254
Eschersheimer Landstraße / Holzhausenstraße,6,34,50.12673568725586,8.6735258102417,2026-01-07 22:08:11.686255
U Preungesheim,2,38,50.15865707397461,8.687943458557129,2026-01-07 22:08:11.686256
S Eschborn Süd / Stuttgarter Straße,10,30,50.13347244262695,8.57841968536377,2026-01-07 22:08:11.686257
Ostendstraße / Martin-Elsässer-Weg,5,35,50.11140060424805,8.698516845703125,2026-01-07 22:08:11.686258
Campus Riedberg Mensa,5,35,50.171669006347656,8.631916046142578,2026-01-07 22:08:11.686258
Mainzer Landstraße / Rüsselsheimer Straße,7,33,50.10087203979492,8.620850563049316,2026-01-07 22:08:11.686259
Hafenstraße / Speicherstraße,10,30,50.10038757324219,8.660853385925293,2026-01-07 22:08:11.686259
Speyerer Straße / Koblenzer Straße,0,40,50.10734939575195,8.648619651794434,2026-01-07 22:08:11.686260
Rosa-Luxemburg-Straße / Ginnheimer Landstraße,7,33,50.1402702331543,8.646966934204102,2026-01-07 22:08:11.686260
Schmidtstraße 12,3,37,50.10289001464844,8.618450164794922,2026-01-07 22:08:11.686261
Markgrafenstraße / Leipziger Straße,0,40,50.12294387817383,8.64544677734375,2026-01-07 22:08:11.686261
Hügelstraße / Wilhelm-Busch-Straße,0,40,50.147037506103516,8.66157054901123,2026-01-07 22:08:11.686262
Mannheimer Straße / Stuttgarter Straße,0,40,50.10451889038086,8.66165828704834,2026-01-07 22:08:11.686262
KlingelING / Theodor-Heuss-Allee,13,27,50.113983154296875,8.649843215942383,2026-01-07 22:08:11.686264
Schaumainkai / Rubensstraße,2,38,50.101768493652344,8.670740127563477,2026-01-07 22:08:11.686265
Marbachweg / Eckenheimer Landstraße,0,40,50.14198684692383,8.683533668518066,2026-01-07 22:08:11.686266
Eschborn / Helfmann-Park,4,36,50.13827896118164,8.582090377807617,2026-01-07 22:08:11.686266
Pfarrer-Perabo-Platz / Kleyerstraße,10,30,50.098846435546875,8.634016036987305,2026-01-07 22:08:11.686267
Friedberger Landstraße / Dortelweiler Straße,0,40,50.13912582397461,8.698641777038574,2026-01-07 22:08:11.686267
Affentorplatz,5,35,50.10435485839844,8.69019603729248,2026-01-07 22:08:11.686268
Berger Straße / Hermesweg neu,9,31,50.11838150024414,8.691840171813965,2026-01-07 22:08:11.686268
Wolfsgangstraße / Hammanstraße,2,38,50.12434387207031,8.676939964294434,2026-01-07 22:08:11.686270
Frankenallee / Schwalbacherstraße,1,39,50.10417175292969,8.635613441467285,2026-01-07 22:08:11.686270
Schloßstraße / Robert-Mayer-Straße,1,39,50.11750411987305,8.645444869995117,2026-01-07 22:08:11.686272
Eiserne Hand / Scheffelstraße,1,39,50.122100830078125,8.6899995803833,2026-01-07 22:08:11.686272
Zum Brommenhof / Gerbermühlstraße,0,40,50.10464096069336,8.699756622314453,2026-01-07 22:08:11.686273
Mainkai / Am Hafendeck,14,26,50.11272048950195,8.753939628601074,2026-01-07 22:08:11.686273
Bornheimer Landwehr / Wittelsbacherallee,3,37,50.12242126464844,8.710065841674805,2026-01-07 22:08:11.686273
